x [*] :=
  1   0.304982      84   0.196053     167  22.4472       250  16.8664
  2   0.0637558     85   1.71185      168  14.0849       251  13.4214
  3   0.0848491     86  31.7656       169  29.7778       252  37.5554
  4   0.573452      87  40.3221       170  28.5378       253  38.8807
  5  19.0024        88   3.73108      171   0.0810906    254  11.6074
  6   0.0602468     89   4.93153      172  26.0882       255  12.5677
  7   0.0114082     90   0.712886     173   5.43829      256   8.09325
  8   0.0166335     91   0.0383763    174   7.96917      257   1.53465
  9   0.0884286     92   0.283009     175  12.0157       258   1.90101
 10   0.525454      93   3.7647       176  21.6464       259  28.36
 11  15.3779        94  29.7439       177  19.3478       260   4.74417
 12  20.2401        95  42.7159       178  26.8476       261  20.0773
 13  15.2017        96  13.1788       179   0.122069     262   8.9739
 14   4.25902       97  10.9303       180   4.74824      263  25.1348
 15   0.04141       98  18.7619       181   0.985093     264   3.47488
 16   2.63874       99   0.9203       182   0.361619     265   3.41453
 17   0.0340119    100   1.44966      183   1.98852      266   0.428972
 18   0.0583634    101   0.0510877    184  12.879        267   0.112921
 19   4.61272      102   1.24558      185  16.4935       268   0.0393258
 20   1.29672      103  33.878        186  12.192        269   0.0756454
 21   8.54591      104  37.4778       187   7.65675      270   1.6711
 22   4.65067      105  12.6787       188  21.4003       271  13.1192
 23   0.382781     106   0.519348     189   0.416831     272   0.664212
 24   0.347202     107  20.4854       190  11.4978       273   0.653812
 25   6.09222      108   7.5255       191  16.487        274  12.3714
 26   3.37237      109   0.199529     192  15.2583       275   9.38736
 27   0.0491749    110   0.0625166    193  22.4026       276   1.61884
 28   2.83521      111   0.711033     194  10.1882       277   0.0905786
 29   1.17173      112  44.6505       195  19.7879       278   0.0254143
 30   6.52147      113  44.6566       196  19.4244       279   0.102268
 31   4.01392      114  21.6918       197   2.86999      280   1.32953
 32   1.33797      115  10.8736       198   3.33506      281   5.62446
 33   3.62078      116  26.4646       199   7.20649      282   0.404764
 34   3.88901      117  23.5513       200   0.320491     283  13.2081
 35   2.68358      118   0.154634     201   0.959821     284  11.2864
 36   0.04906      119   2.07569      202   4.43719      285   0.105528
 37   0.900954     120   0.268425     203   3.69666      286   0.0452052
 38   1.69537      121   0.197628     204  15.7786       287   0.542929
 39   2.91104      122   0.436778     205  16.285        288   0.0500933
 40   2.00204      123   0.104102     206   7.90898      289   1.07286
 41   1.72189      124   6.34531      207  16.8227       290   4.46819
 42   1.874        125  27.7573       208  18.533        291   2.18166
 43   2.65397      126   0.281294     209   0.0626523    292  15.4972
 44   1.80945      127   2.40717      210   0.865263     293   9.73751
 45   0.0517403    128   4.82433      211   1.48146      294   0.334386
 46   8.39532      129   5.30885      212   5.30323      295   1.66612
 47   1.9512       130   5.45838      213  10.5223       296   0.330054
 48   0.140557     131   2.85702      214   0.74579      297   0.0486176
 49   0.329504     132   3.56526      215   6.33081      298   6.56155
 50   0.110706     133   1.15221      216  10.7097       299   0.358074
 51   0.321049     134   1.68579      217   8.52443      300   2.20533
 52   0.135415     135  43.0434       218   0.974517     301  18.3795
 53   5.97173      136   3.77023      219   0.0905567    302   8.07953
 54   0.0518748    137   0.0306174    220   0.637723     303   1.54293
 55   0.734987     138 102.311        221  16.3892       304   3.44759
 56   7.66029      139   2.54932      222   7.46329      305   4.68134
 57   6.79965      140   3.00331      223   2.68392      306   0.0456942
 58   6.13944      141  10.538        224   7.17579      307   1.43123
 59   3.04744      142  45.8786       225  15.1704       308   2.97911
 60   0.709689     143  26.6812       226  11.6328       309  10.8699
 61   0.0761312    144  50.1466       227  13.9046       310  21.342
 62   0.0648438    145   0.627231     228  20.3864       311   5.17716
 63   1.36872      146  25.2084       229   0.0908712    312   2.87875
 64   4.08711      147  25.2408       230  31.0042       313   9.79848
 65   0.0197571    148  10.7681       231  23.7002       314   1.37658
 66   0.00928318   149  15.0251       232   1.85183      315   0.0460471
 67   0.0173403    150  47.7987       233  19.1945       316   2.56281
 68   0.0879114    151  19.3993       234  24.1664       317   0.792948
 69   0.0205589    152  36.5154       235  30.4948       318   4.4694
 70   0.039441     153  20.1531       236  37.5301       319  21.6326
 71  88.3604       154  47.7813       237  10.9011       320   3.6171
 72  41.9094       155  28.5732       238   0.0712926    321   5.54772
 73  24.6212       156   3.4641       239  29.0777       322   4.93091
 74  21.6484       157  16.2866       240  19.0213       323   0.0766201
 75   2.95834      158  46.4807       241  16.8278       324   0.0602405
 76   0.155721     159  32.0782       242  26.2799       325   0.438344
 77   2.3435       160  44.5436       243  23.5144       326  19.0968
 78  50.604        161  14.0481       244  41.1079       327   0.321472
 79  42.5196       162   0.0646595    245  33.2095       328   0.0324887
 80  11.3694       163  36.7958       246  17.772        329   0.010091
 81  11.9127       164   0.888951     247  21.1901
 82  11.8486       165   5.05091      248   1.16707
 83   7.23406      166   2.30728      249   7.46095
;

