x [*] :=
  1  0.0396908    84  0.201811    167 22.7345      250 17.0131
  2  0.0516333    85  1.72601     168 13.5433      251 15.0214
  3  0.401102     86 31.033       169 30.7523      252 37.0259
  4 16.099        87 41.5383      170 28.3478      253 35.4412
  5  0.0433215    88  4.65182     171  0.0815432   254 10.9784
  6  0.0102769    89  3.08523     172 23.7558      255 11.2685
  7  0.0157278    90  0.826153    173  5.77177     256  4.27465
  8  0.0806104    91  0.0415681   174  7.58254     257  1.41
  9  0.697034     92  0.369772    175 11.489       258  1.83668
 10 13.5742       93  3.21064     176 22.0442      259 29.1718
 11 19.9282       94 29.2912      177 19.0666      260  1.32967
 12 13.174        95 43.7569      178 27.0704      261 20.4154
 13  5.74372      96 13.1499      179  0.119757    262  5.7551
 14  0.0464001    97 10.2611      180  4.6781      263 22.8265
 15  4.87204      98 19.3497      181  1.0918      264  3.36728
 16  0.0401983    99  0.756614    182  0.454518    265  2.20293
 17  0.0565898   100  1.35022     183  1.53334     266  0.467437
 18  4.7046      101  0.0512706   184 13.0891      267  0.123398
 19  0.926946    102  1.35134     185 16.2881      268  0.0395373
 20  8.27471     103 33.5396      186 10.3437      269  0.0761978
 21  2.59366     104 38.5765      187  6.61495     270  1.62608
 22  0.66272     105 13.2705      188 21.361       271 10.4752
 23  0.133409    106  0.712148    189  0.416662    272  1.61352
 24  7.17838     107 21.6541      190  9.55481     273  1.23247
 25  4.07053     108  6.28513     191 15.401       274 15.3463
 26  0.0501257   109  0.194075    192 15.0101      275  8.22188
 27  2.01973     110  0.0625274   193 20.1887      276  1.89356
 28  0.949775    111  0.699347    194  8.88976     277  0.0612483
 29  5.73657     112 44.3087      195 19.5552      278  0.0250705
 30  3.12811     113 45.546       196 19.4882      279  0.104534
 31  1.96248     114 22.547       197  4.17782     280  1.10792
 32  3.67902     115 11.0879      198  4.11089     281  4.45789
 33  4.32836     116 27.4193      199  7.20387     282  0.399994
 34  2.467       117 22.1851      200  0.342528    283 14.1723
 35  0.0511652   118  0.146384    201  1.0826      284  9.58305
 36  1.35863     119  2.08968     202  4.28457     285  0.0722436
 37  1.30387     120  0.261345    203  3.598       286  0.0447418
 38  2.41845     121  0.183363    204 17.0117      287  0.412581
 39  1.73108     122  0.450507    205 16.7419      288  0.0510459
 40  2.10583     123  0.117693    206  8.16622     289  1.50646
 41  1.63853     124  7.18491     207 17.8153      290  3.71493
 42  2.751       125 27.6737      208 18.6109      291  2.56373
 43  2.33487     126  0.307769    209  0.0680531   292 15.814
 44  0.0516359   127  3.59302     210  0.870516    293  8.27887
 45  9.43741     128  6.1502      211  1.49528     294  0.696995
 46  1.18504     129  5.30139     212  7.65739     295  1.79478
 47  0.118577    130  6.69601     213 11.9635      296  0.340217
 48  0.59569     131  3.22929     214  1.27505     297  0.0493261
 49  0.124436    132  3.31663     215  6.50263     298  5.55665
 50  0.372264    133  1.1886      216 11.5759      299  0.307443
 51  0.476053    134  1.73101     217  7.83601     300  2.31919
 52  5.60116     135 45.5802      218  1.99807     301 17.8724
 53  0.0515602   136  4.37956     219  0.0871776   302  6.8797
 54  0.650402    137  0.0325631   220  0.638385    303  1.87062
 55  7.02881     138 98.7249      221 19.6021      304  3.06975
 56  6.65847     139  2.30778     222  9.17369     305  4.57641
 57  5.42086     140  2.97699     223  3.32258     306  0.0466288
 58  2.49826     141 10.7332      224  7.80748     307  1.32599
 59  0.114563    142 49.1203      225 15.9622      308  3.0997
 60  0.0588732   143 27.2245      226 10.7624      309 10.3961
 61  0.0684792   144 51.4821      227 13.7359      310 19.7101
 62  1.18963     145  0.608271    228 20.467       311  3.57709
 63  2.20695     146 21.9535      229  0.0908683   312  2.47349
 64  0.0206453   147 25.085       230 34.5447      313  9.73981
 65  0.0096807   148  9.68458     231 25.9612      314  1.76397
 66  0.0179522   149 15.4114      232  2.24857     315  0.0465114
 67  0.0951702   150 49.7726      233 20.5957      316  2.26677
 68  0.0757227   151 19.2448      234 25.4672      317  0.738248
 69  0.0277679   152 37.7339      235 30.0737      318  4.71449
 70  0.0518583   153 20.1122      236 35.6468      319 20.9718
 71 91.0039      154 44.8808      237 10.7181      320  3.02272
 72 43.5266      155 27.9622      238  0.0715141   321  5.48852
 73 26.3914      156  2.29407     239 32.3775      322  4.97059
 74 20.6573      157 16.8341      240 21.391       323  0.0743264
 75  2.56945     158 47.7115      241 16.5734      324  0.0600964
 76  0.186344    159 32.0774      242 26.6088      325  0.414211
 77  2.53163     160 45.7725      243 25.9437      326 17.6483
 78 51.025       161 14.1231      244 41.5393      327  0.396301
 79 43.1444      162  0.0649496   245 30.6424      328  0.0334979
 80 13.0995      163 33.5699      246 17.3382      329  0.010214
 81  9.80335     164  0.818005    247 24.388
 82 12.1149      165  3.9845      248  1.3245
 83  8.06795     166  1.8349      249  6.33023
;

